id,number,title,pipeline,workgroup,type,project,body,repo
489940424,141,Epic - ATD AMANDA Backlog,In Progress,,,No,"## Description
The purpose of this project is to contract with an AMANDA developer to deliver all items on ATD's AMANDA backlog. ",atd-amanda
487138361,140,Create Inspector Prioritization Report - Due 11/28/19,Recurring,ROW,Data,No,,atd-amanda
487138263,139,Create Inspector Prioritization Report - Due 11/21/19,Recurring,ROW,Data,No,,atd-amanda
487138177,138,Create Inspector Prioritization Report - Due 11/14/19,Recurring,ROW,Data,No,,atd-amanda
487138066,137,Create Inspector Prioritization Report - Due 11/7/19,Recurring,ROW,Data,No,,atd-amanda
487137975,136,Create Inspector Prioritization Report - Due 10/31/19,Recurring,ROW,Data,No,,atd-amanda
487137834,135,Create Inspector Prioritization Report - Due 10/24/19,Recurring,ROW,Data,No,,atd-amanda
487137719,134,Create Inspector Prioritization Report - Due 10/17/19,Recurring,ROW,Data,No,,atd-amanda
487137624,133,Create Inspector Prioritization Report - Due 10/10/19,Recurring,ROW,Data,No,,atd-amanda
487137508,132,Create Inspector Prioritization Report - Due 10/3/19,Recurring,ROW,Data,No,,atd-amanda
487137342,131,Create Inspector Prioritization Report - Due 9/26/19,Recurring,ROW,Data,No,,atd-amanda
487137184,130,Create Inspector Prioritization Report - Due 9/19/19,Recurring,ROW,Data,No,,atd-amanda
487137011,129,Create Inspector Prioritization Report - Due 9/12/19,On Deck,ROW,Data,No,,atd-amanda
487136846,128,Create Inspector Prioritization Report - Due 9/5/19,In Progress,ROW,Data,No,,atd-amanda
481292258,126,ROWMAN Phase 2 Epic,In Progress,ROW,,No,"- Creating a new AMANDA folder for managing sidewalk cafe and street patio permits, and adding this permit type to the web portal for applicants.
- Adding an interactive web map to the ROW portal applications, allowing applicants to use a map to add properties to their application.
- Updating the interactive web map to include advanced features such as duplicating previous applications, picking parking spaces directly from the map, and the integration of related GIS data that will increase staff's ability to review requests.

**The Project Index is [here](https://github.com/cityofaustin/atd-data-tech/issues/420).** ",atd-amanda
480976830,124,UC/LM Self-Assign - User Permissions,Backlog,,IT Support,No,"UC & LM staff need SP folder update permissions, if they don't already have it.",atd-amanda
480974225,123,UC/LM Self-Assign - Test Adding Extra Folder Properties,Backlog,,Testing,No,"## Description

Testing done during meeting #116 , an property I didn't select was added to the AMANDA folder. I need to troubleshoot this more. ",atd-amanda
480973725,122,UC/LM Self-Assignment - Formalize the Update to the SP Info Tab,On Deck,,,No,"## Description

We still need to figure out at what point in the process the SP folder info gets updated to 'Yes', and who will do this. The CC process is manual, so LM/UC staff aren't in AMANDA at this point to make the info update themselves. 
(This need was discovered in meeting #116)

- [ ] Tracy - Send email out to facilitate this conversation

",atd-amanda
479148112,120,Inspector Prioritization Phase 2,Backlog,ROW,,No,,atd-amanda
479133775,119,Epic - Data Automation Inspector Prioritization,In Progress,,,No,,atd-amanda
476385076,117,Meeting: UC Self-Assignment Demo & Testing,Review/QA,ROW,Meeting,No,"**Date/Time:** 8/16/19 @ 2:30pm

**Attendees:** Tracy Linder, Isaiah Lewallen, Jaclyn Lozano, Greg Pepper

**Objective:** Demo the UC Self-Assignment features, and discuss UAT. ",atd-amanda
476371117,115,New Feature: Work Start Date For Inspectors,Backlog,ROW,Feature,No,"**User Story:** As a traffic control inspector, I'd like to be able to contact the a permit applicant to find out when work will take place, then make note of that date in AMANDA, and then be reminded closer to that date.

**Source:** Meeting #83
**Submitted**: 8/2/19",atd-amanda
476370662,114,New Feature: Work Complete Verification ,Backlog,ROW,Feature,No,"**User Story:** As a traffic control inspector, I'd like to be able to verify the permitted work is complete, then note that in AMANDA, and then have the permit drop off of the inspector prioritization list. 

**Source:** Meeting #83 
**Submitted:** 8/2/19",atd-amanda
476363568,112,OSE - New Processes For Neighborhood Block Party Folder,Backlog,OSE,Feature,No,"**Description Of User's Issue**
Add 3 default folder processes. The processes should insert when an attempt result of 'Accepted' is saved on the Web Application Acceptance process (code 7000).

**Requester:** Maria Alonzo

**CTM Help Desk Ticket # :** 1969325 

[Request Details HD 1969325.pdf](https://github.com/cityofaustin/atd-amanda/files/3462946/Request.Details.HD.1969325.pdf)
",atd-amanda
